Date,AAL_Close,AAL_Vol,AAPL_Close,AAPL_Vol,ALK_Close,ALK_Vol,AMZN_Close,AMZN_Vol,BHC_Close,BHC_Vol,CS_Close,CS_Vol,DB_Close,DB_Vol,GOOG_Close,GOOG_Vol,GS_Close,GS_Vol,HA_Close,HA_Vol,JNJ_Close,JNJ_Vol,MRK_Close,MRK_Vol,SP500_Close,SP500_Vol
11/12/2017,50.000374,2835600,41.612385,141095200,66.494606,917900,1168.920044,2363500,20.549999,33873500,16.537796,2016900,18.771875,2150600,1041.099976,1192800,237.34877,1494200,38.810165,999000,131.012512,4358600,51.546047,9770200,2659.98999,3091950000
12/12/2017,49.191406,2798200,41.37862,77636800,66.570923,2043100,1165.079956,2235900,21.870001,41243400,16.594723,3198700,18.849688,2679700,1040.47998,1279500,244.51297,3464200,38.713501,534300,132.367752,8016700,52.213928,13792700,2664.110107,3555680000
13-12-2017,48.82103,3035200,41.515987,95273600,65.827003,1633800,1164.130005,2616800,22.049999,48398800,16.613699,2949400,18.801056,2734300,1040.609985,1282700,242.501312,3482300,38.713501,583600,132.636932,6118400,52.067547,13342500,2662.850098,3542370000
14-12-2017,48.937988,4503100,41.503937,81906000,66.179886,1148100,1174.26001,3214300,19.68,53353800,16.62319,2977900,18.703791,2568100,1049.150024,1558700,242.4254,3353200,37.988525,890300,131.485886,5337900,51.680012,10137300,2652.01001,3430030000
15-12-2017,49.766453,9074200,41.925674,160677200,67.553284,2635200,1179.140015,4778600,19.709999,23793900,16.70858,2326100,18.898319,3309500,1064.189941,3275900,244.029068,5283400,38.713501,2254300,132.237778,12517000,51.892227,22580700,2675.810059,5723920000
18-12-2017,50.185558,3235900,42.516113,117684400,70.156982,2392300,1190.579956,2947600,21.200001,27027200,16.945786,1941500,19.549986,5953000,1077.140015,1554600,246.733353,2575600,39.43848,759300,131.625122,5833200,51.873783,11595000,2690.159912,3724660000
19-12-2017,50.136829,3019800,42.063038,109745600,69.804092,2119200,1187.380005,2587800,20.860001,13576200,16.869879,1738700,19.306828,3695100,1070.680054,1338700,243.374268,2195500,38.375179,1241400,131.606552,6580100,51.883003,9467100,2681.469971,3368590000
20-12-2017,50.604664,5172800,42.017254,93902400,70.357246,1510300,1177.619995,2371200,20.889999,21775300,16.70858,2103600,19.170656,2264000,1064.949951,1268600,242.140686,2052400,38.375179,715500,131.031052,6289800,51.772282,13135900,2679.25,3241030000
21-12-2017,51.452625,7125900,42.176311,83799600,71.234703,2020500,1174.76001,2123100,21.67,16506200,17.097595,3267700,19.160931,4692700,1063.630005,995700,247.672821,3337800,39.341812,700400,130.938232,6284700,52.2244,9961800,2684.570068,3273390000
22-12-2017,51.25769,2425100,42.176311,65397600,70.843658,1246700,1168.359985,1585100,21.549999,13460300,17.040665,1626900,18.849688,2434100,1060.119995,755100,245.737045,2100600,39.535133,509000,130.065659,4665600,52.00296,11346000,2683.340088,2399830000
26-12-2017,51.511105,2774000,41.106304,132742000,71.377762,869500,1176.76001,2005200,21.65,10703300,16.983736,1790100,18.703791,1618600,1056.73999,760600,244.550919,1289300,39.825123,427700,130.037827,3271100,51.984501,4405300,2680.5,1968780000
27-12-2017,51.07251,2831400,41.113533,85992800,70.929512,939300,1182.26001,1867200,21.549999,11668200,16.879366,1546800,18.538445,2429000,1049.369995,1271900,242.871353,1567900,39.29348,654600,130.483398,3753600,51.984501,5660300,2682.620117,2202080000
28-12-2017,51.130981,1845300,41.229214,65920800,71.120239,901700,1186.099976,1841700,21.16,14604400,16.945786,975300,18.577351,1704900,1048.140015,837100,243.39328,1301000,39.631794,690600,130.474106,2485000,52.2244,5783500,2687.540039,2153330000
29-12-2017,50.711876,2696300,40.783367,103999600,70.109299,1038100,1169.469971,2688400,20.780001,10325000,16.936296,1398200,18.509266,1548700,1046.400024,887500,241.742157,2519300,38.520164,773500,129.694351,4452900,51.919914,8436600,2673.610107,2443490000
2/1/2018,51.647556,4084700,41.51358,102223600,71.539886,1738000,1189.01001,2694500,21.790001,12771500,16.96476,1090900,18.801056,2307400,1065,1237600,242.605667,2258300,38.761826,868800,129.239532,6842100,51.873783,10073000,2695.810059,3367250000
3/1/2018,51.014027,5074900,41.506344,118071600,71.206085,1653000,1204.199951,3108800,23.01,22542300,17.135546,1966000,18.635706,4235000,1082.47998,1430200,240.347275,2988200,37.215225,1094800,130.474106,5350500,51.799969,10582500,2713.060059,3538660000
4/1/2018,51.335667,3557100,41.699139,89738400,70.433563,1343900,1209.589966,3022100,23.049999,15342600,17.353773,2041900,19.229017,4409500,1086.400024,1004600,243.706406,2583200,37.505215,866400,130.464798,4837600,52.639614,15030200,2723.98999,3695260000
5/1/2018,51.316177,2967800,42.173893,94640000,70.328651,1087600,1229.140015,3544700,23.85,22334500,17.173498,2881800,18.042398,16517400,1102.22998,1279100,242.463333,2594700,37.795197,743500,131.541595,6158800,52.584251,9499100,2743.149902,3236620000
8/1/2018,50.809345,3515800,42.017254,82271200,69.384445,1339900,1246.869995,4279500,23.110001,16153400,17.239916,1771100,17.79924,5030700,1106.939941,1047600,238.942917,2940500,37.84354,897500,131.708664,5129800,52.279762,11109300,2747.709961,3242650000
9/1/2018,50.760616,3426000,42.012432,86336000,67.991997,2398000,1252.699951,3661300,23.870001,11360300,17.088106,2747100,17.633892,4691700,1106.26001,902500,240.964127,2637300,35.475292,1979200,133.797211,8897000,52.408939,10631700,2751.290039,3453480000
10/1/2018,52.417542,7655800,42.002796,95839600,68.716835,1797700,1254.329956,2686000,23.43,11788900,17.36326,4112000,17.993767,4391000,1102.609985,1042800,241.334137,2927200,36.490253,1139400,133.63942,6558600,52.870285,9062400,2748.22998,3576350000
11/1/2018,54.990665,11339900,42.241379,74670800,71.349152,2401800,1276.680054,3125000,23.809999,11704600,17.790226,3427400,18.052126,3280200,1105.52002,978300,242.093292,2422400,37.456879,1397800,134.400604,4962200,53.147095,7106300,2767.560059,3641320000
12/1/2018,56.988728,7505800,42.677582,101672400,70.11882,2946900,1305.199951,5443700,23.84,10214500,17.989477,2609300,18.188295,4427200,1122.26001,1720500,243.896194,2849200,37.456879,786300,135.300964,5450600,54.125145,12343100,2786.23999,3573970000
16-01-2018,56.511139,5283900,42.460686,118263600,67.98246,2360500,1304.859985,7220700,22.98,14893800,17.885109,3798200,18.003494,3107400,1121.76001,1575300,245.253098,4445500,36.973568,642700,136.322052,8804000,57.271534,48091300,2776.419922,4325970000
17-01-2018,56.686577,3148900,43.16198,137547200,67.543732,2275400,1295,5253800,22.700001,11423300,17.761761,3275300,18.013222,2585000,1131.97998,1202600,240.688904,8608100,36.876907,559800,136.433441,10619700,57.234623,21889900,2802.560059,3778050000
18-01-2018,56.862022,3969100,43.200535,124773600,66.561378,1979900,1293.319946,4026900,22.1,12931200,17.961014,3338100,18.022947,1964600,1129.790039,1198200,238.145859,4984500,36.876907,778400,136.377731,5554800,56.404198,19905800,2798.030029,3681470000
19-01-2018,56.589123,3151200,43.007744,129700400,65.693481,3372500,1294.579956,4578500,21.52,15382500,18.084356,2601500,18.266106,2981300,1137.51001,1778200,243.032669,4643400,36.683578,791400,136.786148,8738800,56.542599,12161900,2810.300049,3639430000
22-01-2018,56.628101,3553900,42.655895,108434400,65.378738,3007400,1327.310059,4140100,22.030001,9440700,18.350027,2160000,18.859413,7125100,1155.810059,1618000,248.156738,5264700,36.586914,789400,137.510193,7010400,56.514923,12247500,2832.969971,3471780000
23-01-2018,56.813286,3337000,42.665524,130756400,66.256187,2557600,1362.540039,5169300,22.299999,8550900,18.331049,2400500,18.937223,2753000,1169.969971,1333100,246.79982,4003600,37.40855,644000,131.652985,17473600,56.930138,11181500,2839.129883,3519650000
24-01-2018,53.401958,16348500,41.985931,204420400,61.697323,6209000,1357.51001,6807500,19.879999,32840600,18.634668,4010000,19.199835,4057200,1164.23999,1416600,252.104156,4314000,35.958611,2046300,131.875763,13034400,56.450329,13482100,2837.540039,4014070000
25-01-2018,51.706036,10223100,41.236435,166116000,59.198528,10476000,1377.949951,4753000,19.709999,23904100,18.615696,2334000,19.102571,3504400,1170.369995,1480500,255.282944,5055000,34.460339,1443900,134.038559,7938800,56.561054,9402300,2839.25,3835150000
26-01-2018,51.725533,7066100,41.332829,156572000,61.554256,3973900,1402.050049,4857300,19.32,14696100,18.957264,2313400,18.97613,2386200,1175.839966,2018800,254.438492,3535400,35.523617,1450300,134.901871,8065600,57.243847,10553700,2872.870117,3443230000
29-01-2018,51.345413,5953700,40.477306,202561600,62.450783,3702700,1417.680054,5701900,19.389999,9782000,18.615696,2010700,18.577351,3576000,1175.579956,1378900,258.556732,3881100,36.248592,1526500,133.370224,8013400,56.865547,8776900,2853.530029,3573830000
30-01-2018,51.25769,4741800,40.238724,184192800,61.229977,2677600,1437.819946,5871900,18.65,12980200,18.406956,2469400,17.87705,5353600,1163.689941,1556300,255.197571,3970400,37.795197,1784200,132.2099,8376100,55.961311,13040700,2822.429932,3990650000
